,TARGET,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,REG_ADDRESS_PROVINCE,FACT_ADDRESS_PROVINCE,FL_PRESENCE_FL,OWN_AUTO,FAMILY_INCOME,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
0,0,49,1,Среднее специальное,Состою в браке,2,1,1,0,Оренбургская область,Оренбургская область,0,0,от 10000 до 20000 руб.,5000.0,1,1
1,0,32,1,Среднее,Состою в браке,3,3,1,0,Кабардино-Балкария,Кабардино-Балкария,0,0,от 10000 до 20000 руб.,12000.0,1,1
2,0,52,1,Неполное среднее,Состою в браке,4,0,1,0,Иркутская область,Иркутская область,0,0,от 10000 до 20000 руб.,9000.0,2,1
3,0,39,1,Высшее,Состою в браке,1,1,1,0,Ростовская область,Ростовская область,1,0,от 20000 до 50000 руб.,25000.0,1,1
4,0,30,0,Среднее,Состою в браке,0,0,1,0,Кабардино-Балкария,Кабардино-Балкария,0,0,от 10000 до 20000 руб.,12000.0,2,1
5,0,29,0,Среднее,Гражданский брак,0,0,1,0,Белгородская область,Белгородская область,0,1,от 20000 до 50000 руб.,12000.0,2,1
6,0,35,0,Высшее,Разведен(а),1,1,1,0,Вологодская область,Вологодская область,1,0,от 20000 до 50000 руб.,15000.0,2,2
7,0,41,1,Среднее,Состою в браке,0,0,1,0,Волгоградская область,Волгоградская область,1,0,от 10000 до 20000 руб.,6000.0,2,1
8,0,53,0,Высшее,Состою в браке,2,0,1,0,Ярославская область,Ярославская область,0,0,свыше 50000 руб.,100000.0,1,1
9,0,43,1,Среднее специальное,Состою в браке,0,0,1,0,Краснодарский край,Краснодарский край,1,0,от 10000 до 20000 руб.,7000.0,1,1
10,0,54,1,Среднее специальное,Не состоял в браке,2,0,1,0,Карелия,Карелия,1,0,от 20000 до 50000 руб.,19000.0,1,1
11,1,26,0,Среднее специальное,Не состоял в браке,0,0,1,0,Хабаровский край,Хабаровский край,0,0,от 10000 до 20000 руб.,18000.0,2,1
12,1,62,0,Среднее,Гражданский брак,3,0,0,1,Калужская область,Калужская область,0,1,от 10000 до 20000 руб.,7000.0,1,1
13,0,45,1,Среднее специальное,Разведен(а),3,1,1,0,Карелия,Карелия,0,0,от 10000 до 20000 руб.,12000.0,1,1
14,0,38,1,Высшее,Состою в браке,0,1,1,0,Еврейская АО,Еврейская АО,0,0,от 20000 до 50000 руб.,20000.0,2,1
15,1,41,1,Высшее,Разведен(а),0,0,1,0,Хабаровский край,Хабаровский край,1,0,свыше 50000 руб.,60000.0,1,1
16,0,65,1,Среднее специальное,Состою в браке,2,0,0,1,Красноярский край,Красноярский край,1,0,от 20000 до 50000 руб.,10000.0,1,1
17,0,29,1,Среднее специальное,Состою в браке,1,1,1,0,Свердловская область,Свердловская область,0,0,от 10000 до 20000 руб.,5200.0,1,1
18,1,34,0,Среднее,Гражданский брак,0,0,1,0,Камчатская область,Камчатская область,0,0,свыше 50000 руб.,35000.0,1,1
19,0,28,1,Высшее,Не состоял в браке,0,0,1,0,Алтайский край,Алтайский край,0,0,от 10000 до 20000 руб.,15000.0,1,1
20,0,37,1,Высшее,Состою в браке,1,1,1,0,Липецкая область,Липецкая область,1,0,от 10000 до 20000 руб.,10000.0,1,1
21,0,42,1,Среднее специальное,Состою в браке,1,1,1,0,Белгородская область,Белгородская область,0,0,от 10000 до 20000 руб.,10000.0,1,1
22,0,45,1,Высшее,Разведен(а),3,2,1,0,Вологодская область,Вологодская область,0,0,от 10000 до 20000 руб.,14000.0,1,1
23,0,32,1,Среднее специальное,Не состоял в браке,0,0,1,0,Ростовская область,Ростовская область,0,1,от 10000 до 20000 руб.,10000.0,1,1
24,0,33,1,Среднее специальное,Состою в браке,1,1,1,0,Адыгея,Адыгея,0,0,от 10000 до 20000 руб.,8000.0,1,1
25,0,38,1,Среднее специальное,Не состоял в браке,1,1,1,0,Челябинская область,Челябинская область,1,0,от 10000 до 20000 руб.,13000.0,1,1
26,0,27,1,Высшее,Состою в браке,0,0,1,0,Мурманская область,Мурманская область,0,1,от 20000 до 50000 руб.,12500.0,1,1
27,1,31,1,Среднее специальное,Состою в браке,1,1,1,0,Амурская область,Амурская область,0,0,от 20000 до 50000 руб.,12000.0,1,1
28,0,40,0,Среднее специальное,Состою в браке,1,1,1,0,Ленинградская область,Ленинградская область,0,0,от 20000 до 50000 руб.,20000.0,1,1
29,0,63,1,Среднее специальное,Состою в браке,0,0,0,1,Тверская область,Тверская область,0,0,от 5000 до 10000 руб.,5000.0,1,1
30,0,40,1,Среднее специальное,Состою в браке,3,2,1,0,Мурманская область,Мурманская область,0,1,от 20000 до 50000 руб.,11000.0,1,1
31,0,27,0,Высшее,Состою в браке,1,1,1,0,Ленинградская область,Ленинградская область,0,0,от 10000 до 20000 руб.,15000.0,1,1
32,0,49,1,Среднее специальное,Не состоял в браке,2,0,1,0,Ростовская область,Ростовская область,0,0,от 5000 до 10000 руб.,5000.0,1,1
